player_name,age,nationality,team_name,start_year,end_year,appearances,league_name,image_url
Karim Coulibaly,18,Germany,Werder Bremen,2025,2025,10,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/1084638-1756027638.jpg?lm=1
Assan Ouédraogo,19,Germany,Leipzig,2024,2025,13,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/897424-1759779834.jpg?lm=1
Said El Mala,19,Germany,1.FC Köln,2025,2025,10,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/1168219-1761497362.jpg?lm=1
Leon Avdullahu,21,Kosovo,Hoffenheim,2025,2025,10,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/667457-1755091730.jpg?lm=1
Lukas Ullrich,21,Germany,Mönchengladbach,2023,2025,40,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/787151-1691248738.jpg?lm=1
Ilyas Ansah,21,Germany,Union Berlin,2025,2025,10,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/1035765-1755624476.jpg?lm=1
Ísak Jóhannesson,22,Iceland,1.FC Köln,2025,2025,10,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/579565-1722890599.jpg?lm=1
Michael Olise,23,France,Bayern Munich,2024,2025,44,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/566723-1725873883.jpg?lm=1
Daniel Svensson,23,Sweden,Dortmund,2024,2025,22,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/579287-1739179044.jpg?lm=1
Nicolas Seiwald,24,Austria,Leipzig,2023,2025,61,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/404950-1716315232.jpg?lm=1
Kaishu Sano,24,Japan,Mainz,2024,2025,44,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/643574-1752587688.jpg?lm=1
Romano Schmid,25,Austria,Werder Bremen,2022,2025,102,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/346853-1730117104.jpg?lm=1
Romano Schmid,20,Austria,Werder Bremen,2020,2020,22,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/346853-1730117104.jpg?lm=1
Arthur Theate,25,Belgium,Frankfurt,2024,2025,41,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/368891-1757597860.jpg?lm=1
Mohamed Amoura,25,Algeria,Wolfsburg,2024,2025,41,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/746910-1724771303.jpg?lm=1
Connor Metcalfe,26,Australia,St. Pauli,2024,2025,20,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/522223-1755033011.jpg?lm=1
Edmond Tapsoba,26,Burkina Faso,Leverkusen,2019,2025,167,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/564545-1695368009.jpg?lm=1
Gregor Kobel,27,Switzerland,Dortmund,2021,2025,125,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/257814-1709559904.jpg?lm=1
David Raum,27,Germany,Leipzig,2022,2025,91,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/318204-1713945422.jpg?lm=1
Konrad Laimer,28,Austria,Bayern Munich,2023,2025,68,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/223967-1700659266.jpg?lm=1
Luis Díaz,28,Colombia,Bayern Munich,2025,2025,10,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/480692-1757938077.jpg?lm=1
Nico Elvedi,29,Switzerland,Mönchengladbach,2015,2025,295,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/192635-1691249306.jpg?lm=1
Joshua Kimmich,30,Germany,Bayern Munich,2015,2025,305,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/161056-1700039639.jpg?lm=1
Willi Orbán,33,Hungary,Leipzig,2016,2025,236,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/93740-1724337179.jpg?lm=1
Andrej Kramaric,34,Croatia,Hoffenheim,2015,2025,296,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/46580-1755089885.jpg?lm=1
Oliver Baumann,35,Germany,Hoffenheim,2014,2025,368,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/55089-1755090197.jpg?lm=1
Jobe Bellingham,20,England,Dortmund,2025,2025,10,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/796297-1745646967.jpg?lm=1
Jakub Kaminski,23,Poland,1.FC Köln,2025,2025,10,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/407098-1752743041.jpg?lm=1
Karim Adeyemi,23,Germany,Dortmund,2022,2025,80,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/496094-1712859708.jpg?lm=1
Fisnik Asllani,23,Kosovo,Hoffenheim,2025,2025,10,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/524290-1755090506.jpg?lm=1
Fisnik Asllani,19,Kosovo,Hoffenheim,2021,2022,10,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/524290-1755090506.jpg?lm=1
Alexander Prass,24,Austria,Hoffenheim,2024,2025,33,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/434116-1723921044.jpg?lm=1
Christoph Baumgartner,26,Austria,Leipzig,2023,2025,73,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/324278-1716315718.jpg?lm=1
Ritsu Doan,27,Japan,Frankfurt,2025,2025,10,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/358504-1757597784.jpg?lm=1
Danel Sinani,28,Luxembourg,St. Pauli,2024,2025,36,Bundesliga,https://img.a.transfermarkt.technology/portrait/medium/346499-1755033100.jpg?lm=1
